Eg,FWHM_rel_norm,Eff_tot,FE,SE,DE,c511
100.0000000,7.8386000,1.2114000,15215.0000000,0.0000000,0.0000000,0.0000000
200.0000000,4.4151000,1.2830000,12334.0000000,0.0000000,0.0000000,0.0000000
400.0000000,2.5849000,1.1430000,10296.0000000,0.0000000,0.0000000,0.0000000
600.0000000,1.8641000,1.0689000,8593.8000000,0.0000000,0.0000000,0.0000000
800.0000000,1.4895000,1.0266000,7723.0000000,0.0000000,0.0000000,0.0000000
1000.0000000,1.2658000,1.0169000,7014.0000000,0.0000000,0.0000000,0.0000000
1200.0000000,1.0686379,0.9958000,6647.2000000,0.0000000,0.0000000,4.5000000
1400.0000000,0.9445769,1.0021000,6206.2000000,18.5000000,16.2500000,57.5000000
1600.0000000,0.8488143,0.9855900,5828.2000000,47.2500000,0.2500000,100.5000000
1800.0000000,0.7724374,0.9857800,5443.8000000,93.2500000,9.5000000,162.5000000
2000.0000000,0.7394000,0.9721800,5203.2000000,104.5000000,22.0000000,231.2500000
2200.0000000,0.6578040,0.9624600,4879.2000000,128.0000000,23.5000000,379.2500000
2400.0000000,0.6135436,0.9552200,4693.0000000,226.5000000,22.2500000,412.0000000
2600.0000000,0.5754626,0.9523400,4359.0000000,269.7500000,27.2500000,448.2500000
2800.0000000,0.5423157,0.9428900,4216.8000000,304.0000000,60.7500000,525.7500000
3000.0000000,0.4961000,0.9366900,4117.0000000,314.2500000,42.0000000,657.2500000
3200.0000000,0.4873349,0.9297000,3891.2000000,389.2500000,57.2500000,748.0000000
3400.0000000,0.4642483,0.9168300,3691.5000000,392.0000000,70.2500000,793.7500000
3600.0000000,0.4434842,0.9192500,3446.0000000,398.2500000,68.0000000,831.0000000
3800.0000000,0.4246985,0.9198900,3415.2000000,473.0000000,46.2500000,929.7500000
4000.0000000,0.4182000,0.9090600,3188.8000000,474.7500000,42.0000000,954.5000000
4200.0000000,0.3919989,0.9108700,3052.0000000,573.0000000,78.2500000,1005.3000000
4400.0000000,0.3776690,0.9107000,3029.5000000,533.2500000,68.0000000,1051.8000000
4600.0000000,0.3644659,0.9030000,2927.2000000,620.2500000,85.2500000,1068.0000000
4800.0000000,0.3522575,0.9178700,2860.2000000,635.5000000,86.0000000,1141.2000000
5000.0000000,0.3409320,0.8985500,2695.8000000,617.5000000,67.2500000,1166.8000000
5200.0000000,0.3303939,0.9014400,2684.2000000,625.7500000,77.2500000,1180.2000000
5400.0000000,0.3205611,0.8876800,2565.5000000,639.7500000,78.7500000,1268.2000000
5600.0000000,0.3113630,0.9018500,2416.5000000,704.2500000,71.0000000,1352.8000000
5800.0000000,0.3027379,0.8966100,2401.5000000,717.0000000,89.5000000,1228.5000000
6000.0000000,0.2822000,0.8927600,2366.2000000,697.5000000,69.7500000,1270.8000000
6200.0000000,0.2869990,0.9053900,2256.0000000,657.7500000,84.5000000,1247.0000000
6400.0000000,0.2797966,0.8938300,2138.2000000,726.0000000,96.0000000,1313.8000000
6600.0000000,0.2729883,0.8942800,2171.0000000,693.2500000,89.0000000,1368.5000000
6800.0000000,0.2665417,0.8894100,2044.0000000,702.2500000,75.0000000,1376.5000000
7000.0000000,0.2604277,0.9041100,2064.0000000,701.2500000,70.0000000,1423.2000000